Category,#,Topic Title,Old Category,Topic URL,Notes
Nepal Cricket & Sports Updates,1,Can Gerhard Erasmus Lead Kathmandu Gorkhas This Season?,Sports,https://sanjal.com/t/can-gerhard-erasmus-lead-kathmandu-gorkhas-this-season/4432,
Nepal Cricket & Sports Updates,2,Can Sandeep Khatri Chhetri Lead Pokhara Avengers?,Sports,https://sanjal.com/t/can-sandeep-khatri-chhetri-lead-pokhara-avengers/4466,Sports
Nepal Cricket & Sports Updates,3,Can Tek Bahadur Rawat Boost Sudurpaschim Royals?,Sports,https://sanjal.com/t/can-tek-bahadur-rawat-boost-sudurpaschim-royals/4370,Sports
Nepal Cricket & Sports Updates,4,Can George Munsey Lead Biratnagar Kings in NPL 2,Sports,https://sanjal.com/t/can-george-munsey-lead-biratnagar-kings-in-npl-2/4450,Sports
Nepal Cricket & Sports Updates,5,Can Surya Tamang Strengthen Biratnagar Kings?,Sports,https://sanjal.com/t/can-surya-tamang-strengthen-biratnagar-kings/4444,Sports
Nepal Cricket & Sports Updates,6,Can Basir Ahmed Lead Biratnagar Kings in NPL 2025?,Sports,https://sanjal.com/t/can-basir-ahmed-lead-biratnagar-kings-in-npl-2025/4439,Sports
Nepal Cricket & Sports Updates,7,Can Dawid Malan Lead Chitwan Rhinos This Season?,Sports,https://sanjal.com/t/can-dawid-malan-lead-chitwan-rhinos-this-season/4414,Sports
Nepal Cricket & Sports Updates,8,Can Sohail Tanvir Lead Chitwan Rhinos This Season?,Sports,https://sanjal.com/t/can-sohail-tanvir-lead-chitwan-rhinos-this-season/4415,Sports
Nepal Cricket & Sports Updates,9,Can Bipin Acharya Lead Chitwan Rhinos?,,https://sanjal.com/t/can-bipin-acharya-lead-chitwan-rhinos/4410,
Nepal Cricket & Sports Updates,10,Can Bipin Rawal Lead Chitwan Rhinos This NPL Season?,Sports,https://sanjal.com/t/can-bipin-rawal-lead-chitwan-rhinos-this-npl-season/4409,Sports
Nepal Cricket & Sports Updates,11,Can Arjun Saud Anchor Chitwan Rhinos' NPL Charge,Sports,https://sanjal.com/t/can-arjun-saud-anchor-chitwan-rhinos-npl-charge/4401,Sports
Nepal Cricket & Sports Updates,12,Can Dev Khanal Make an Impact for Chitwan Rhinos?,Sports,https://sanjal.com/t/can-dev-khanal-make-an-impact-for-chitwan-rhinos/4399,Sports
Nepal Cricket & Sports Updates,13,Can Gautam KC Lead Chitwan Rhinos This Season?,Sports,https://sanjal.com/t/can-gautam-kc-lead-chitwan-rhinos-this-season/4398,Sports
Nepal Cricket & Sports Updates,14,Can Amar Singh Routela Lead Chitwan Rhinos This Season?,Sports,https://sanjal.com/t/can-amar-singh-rohttps://sanjal.com/t/utela-lead-chitwan-rhinos-this-season/4396,
Nepal Cricket & Sports Updates,15,Can Deepak Bohara Lead Chitwan Rhinos?,Sports,https://sanjal.com/t/can-deepak-bohara-lead-chttps://sanjal.com/t/hitwan-rhinos/4395,
Nepal Cricket & Sports Updates,16,Can Scott Kuggeleijn Lead Sudurpaschim Royals in NPL 2,Sports,https://sanjal.com/t/can-scott-kuggeleijn-lead-sudurpaschim-royalhttps://sanjal.com/t/s-in-npl-2/4390,Sports
Nepal Cricket & Sports Updates,17,Can Scott Kuggeleijn Boost Sudurpaschim Royals in NPL?,Sports,https://sanjal.com/t/can-scott-kuggeleijn-boost-sudurpaschim-rhttps://sanjal.com/t/oyals-in-npl/4377,Sports
Nepal Cricket & Sports Updates,18,Can Chris Lynn Lead Sudurpaschim Royals in NPL 2,Sports,https://sanjal.com/t/can-chris-lynn-lead-sudurpaschim-royalhttps://sanjal.com/t/s-in-npl-2/4375,Sports
Nepal Cricket & Sports Updates,19,Can Milan Bohara Shine for Sudurpaschim Royals?,Sports,https://sanjal.com/t/can-milan-bohara-shine-for-sudurpaschhttps://sanjal.com/t/im-royals/4374,Sports
Nepal Cricket & Sports Updates,20,Dipesh Thapa Joins Sudurpaschim Royals Ahead of NPL 2,Sports,https://sanjal.com/t/dipesh-thapa-joins-sudurpaschim-royahttps://sanjal.com/t/ls-ahead-of-npl-2/4371,Sports
Nepal Entertainment & Cinema,1,Jerry On Top — Nepali film reviews roundup (Anmol KC, 2025),Entertainment,https://sanjal.com/t/jerry-on-top-nepali-film-reviews-roundup-anmol-kc-2025/4190,
Nepal Entertainment & Cinema,2,"Soltinee Nepali Movie 2025: Trailer, Cast & Release Details",,https://sanjal.com/t/soltinee-nepali-movie-2025-trailer-cast-release-details/4181,
Nepal Entertainment & Cinema,3,Nepal's Entertainment Scene: What's Catching Your Eye?,,https://sanjal.com/t/nepals-entertainment-scene-whats-catching-your-eye/95,
Nepal Entertainment & Cinema,4,Top Highest-Earning Nepalese Films of All Time,,https://sanjal.com/t/top-highest-earning-nepalese-films-of-all-time/4170,
Nepal Entertainment & Cinema,5,"Manoj Bajpayee — Interviews, Films & Biography Excerpt",,https://sanjal.com/t/manoj-bajpayee-interviews-films-biography-excerpt/4525,
Nepal Entertainment & Cinema,6,Which is the best TV Series/Movie,,https://sanjal.com/t/which-is-the-best-tv-series-movie/35,
Nepal Technology & Digital Services,1,"AI in Nepal: tools, prompts and jobs to try now",AI,https://sanjal.com/t/ai-in-nepal-tools-prompts-and-jobs-to-try-now/4557,
Nepal Technology & Digital Services,2,"AI tools, ChatGPT prompts and jobs in Nepal",AI,https://sanjal.com/t/ai-in-nepal-tools-chatgpt-prompts-and-job-paths/4292,
Nepal Technology & Digital Services,3,Sanjal: Nepal's Hub for AI, Digital Marketing & Online Earning,Technology,https://sanjal.com/t/sanjal-nepal-s-hub-for-ai-digital-marketing-online-earning/4342,
Nepal Technology & Digital Services,4,"How Nepal's AI Policy Shapes Jobs, Tools and Prompts",AI,https://sanjal.com/t/how-nepals-ai-policy-shapes-jobs-tools-and-prompts/4337,
Nepal Technology & Digital Services,5,Practical AI tools and ChatGPT prompts for Nepali creators,AI,https://sanjal.com/t/practical-ai-tools-and-chatgpt-prompts-for-nepali-creators/4265,
Nepal Technology & Digital Services,6,Jobs of 2026: AI and automation reshaping Nepal's workforce,Jobs,https://sanjal.com/t/jobs-of-2026-ai-and-automation-reshaping-nepals-workforce/4205,
Nepal Technology & Digital Services,7,🤖 AI in Nepal: Threat or Opportunity?,AI,https://sanjal.com/t/ai-in-nepal-threat-or-opportunity/56,
Nepal Technology & Digital Services,8,E‑Passport in Nepal: What It Is & How to Apply,Awareness,https://sanjal.com/t/e-passport-in-nepal-what-it-is-how-to-apply/4320,
Nepal Technology & Digital Services,9,"TikTok in Nepal: Trends, data and creator wins",Social Media,https://sanjal.com/t/tiktok-in-nepal-trends-data-and-creator-wins/4304,
Nepal Technology & Digital Services,10,"Rethinking Nepal's National Security: Disinformation, Hybrid Threats & Digital Policy",Politics,https://sanjal.com/t/rethinking-nepal-s-national-security-disinformation-hybrid-threats-digital-policy/4279,
Nepal Technology & Digital Services,11,"Digital 2026 नेपाल रिपोर्ट: इन्टरनेट प्रयोग, सोसल मिडिया र प्रमुख संकेतकहरू",Technology,https://sanjal.com/t/digital-2026/4267,
Nepal Technology & Digital Services,12,Vibe Culture & AI Takeover: Social Media in 2025 — A Guide for Nepali Creators,Social Media,https://sanjal.com/t/vibe-culture-ai-takeover-social-media-in-2025-a-guide-for-nepali-creators/4203,
Nepal Technology & Digital Services,13,How to Buy TikTok Coins in Nepal — Quick Guide,Social Media,https://sanjal.com/t/how-to-buy-tiktok-coins-in-nepal-quick-guide/4534,
Nepal Technology & Digital Services,14,"Freelancing Nepal: practical pay, remittance and wallet tips",Money,https://sanjal.com/t/freelancing-nepal-practical-pay-remittance-and-wallet-tips/4484,
Nepal Technology & Digital Services,15,Vibe Culture & AI Takeover: Social Media in 2025 — A Guide for Nepali Creators,Social Media,https://sanjal.com/t/vibe-culture-ai-takeover-social-media-in-2025-a-guide-for-nepali-creators/4203/6,
Nepal Technology & Digital Services,16,10 Money management tips,Money,https://sanjal.com/t/10-money-management-tips/47/2,
Nepal Technology & Digital Services,17,AI Risks Widening Inequality in Nepal — UN Report,AI,https://sanjal.com/t/ai-risks-widening-inequality-in-nepal-un-report/4573,
Nepal Technology & Digital Services,18,Jobs AI Is Likely to Replace in 2025,Jobs,https://sanjal.com/t/jobs-ai-is-likely-to-replace-in-2025/4570,
Nepal Technology & Digital Services,19,Is TikTok in Nepal changing the creator economy?,Social Media,https://sanjal.com/t/is-tiktok-in-nepal-changing-the-creator-economy/4533,
Nepal Technology & Digital Services,20,Can Nepal's economy survive the 2025 political shock?,Politics,https://sanjal.com/t/can-nepal-s-economy-survive-the-2025-political-shock/4505,
Nepal Technology & Digital Services,21,How TikTok and Instagram are reshaping Nepali creators,Social Media,https://sanjal.com/t/how-tiktok-and-instagram-are-reshaping-nepali-creators/4483,
Nepal Technology & Digital Services,22,Gen Z, direct democracy and Nepal's economic crossroads,Politics,https://sanjal.com/t/gen-z-direct-democracy-and-nepal-s-economic-crossroads/4463,
Nepal Technology & Digital Services,23,How to Get a Birth Certificate in Nepal — Online & Offline,Awareness,https://sanjal.com/t/how-to-get-a-birth-certificate-in-nepal-online-offline/4318,
